Year,Make,Model,Category,Engine
2010,Jonway,GTS 500,Scooter,499 ccm
2010,Jordan,125 Legacy,Scooter,124 ccm
2010,Jordan,125B Boxer,Scooter,124 ccm
2010,Kasinski,Comet  250 EFI,Naked bike,249 ccm
2010,Kasinski,Comet GTR 250 EFI,Sport,249 ccm
2010,Kasinski,Comet GTR 650 EFI,Sport,647 ccm
2010,Kasinski,Mirage 150,Custom/cruiser,149 ccm
2010,Kasinski,Mirage 250 EFI,Custom/cruiser,249 ccm
2010,Kasinski,Mirage 650,Custom/cruiser,647 ccm
2010,Kasinski,Win 110,Scooter,109 ccm
2010,Kawasaki,1400 GTR,Sport touring,1352 ccm
2010,Kawasaki,Bayou 250,ATV,228 ccm
2010,Kawasaki,Brute Force 650 4x4,ATV,633 ccm
2010,Kawasaki,Brute Force 750 4x4i,ATV,749 ccm
2010,Kawasaki,Concours 14,Sport touring,1352 ccm
2010,Kawasaki,Concours 14 ABS,Sport touring,1352 ccm
2010,Kawasaki,D-Tracker 125,Super motard,125 ccm
2010,Kawasaki,Eliminator 125,Custom/cruiser,124 ccm
2010,Kawasaki,ER-6f,Naked bike,649 ccm
2010,Kawasaki,ER-6n,Naked bike,649 ccm
2010,Kawasaki,KFX 450R,ATV,449 ccm
2010,Kawasaki,KFX 450R Monster Energy,ATV,449 ccm
2010,Kawasaki,KFX 50,ATV,50 ccm
2010,Kawasaki,KFX 700,ATV,697 ccm
2010,Kawasaki,KFX 90,ATV,89 ccm
2010,Kawasaki,KLR 650,Super motard,651 ccm
2010,Kawasaki,KLX 110,Enduro/offroad,111 ccm
2010,Kawasaki,KLX 110L,Enduro/offroad,111 ccm
2010,Kawasaki,KLX 125,Enduro/offroad,124 ccm
2010,Kawasaki,KLX 125C,Enduro/offroad,124 ccm
2010,Kawasaki,KLX 125D,Super motard,124 ccm
2010,Kawasaki,KLX 140,Enduro/offroad,144 ccm
2010,Kawasaki,KLX 140 Monster Energy,Enduro/offroad,144 ccm
2010,Kawasaki,KLX 140L,Enduro/offroad,144 ccm
2010,Kawasaki,KLX 140L Monster Energy,Enduro/offroad,144 ccm
2010,Kawasaki,KLX 250S,Enduro/offroad,249 ccm
2010,Kawasaki,KLX 250SF,Super motard,249 ccm
2010,Kawasaki,KLX 450R,Enduro/offroad,449 ccm
2010,Kawasaki,KX 100,Cross/motocross,99 ccm
2010,Kawasaki,KX 100 Monster Energy,Cross/motocross,99 ccm
2010,Kawasaki,KX 250F,Cross/motocross,249 ccm
2010,Kawasaki,KX 250F Monster Energy,Cross/motocross,249 ccm
2010,Kawasaki,KX 450F,Cross/motocross,449 ccm
2010,Kawasaki,KX 450F Monster Energy,Cross/motocross,449 ccm
2010,Kawasaki,KX 65,Cross/motocross,65 ccm
2010,Kawasaki,KX 65 Monster Energy,Cross/motocross,65 ccm
2010,Kawasaki,KX 85,Cross/motocross,84 ccm
2010,Kawasaki,KX 85 Monster Energy,Cross/motocross,84 ccm
2010,Kawasaki,KX 85II,Cross/motocross,84 ccm
2010,Kawasaki,Ninja 250R,Sport,249 ccm
2010,Kawasaki,Ninja 500R,Sport,498 ccm
2010,Kawasaki,Ninja 650R,Sport,649 ccm
2010,Kawasaki,Ninja ZX -10R,Sport,998 ccm
2010,Kawasaki,Ninja ZX -6R,Sport,599 ccm
2010,Kawasaki,Ninja ZX-14,Sport,1352 ccm
2010,Kawasaki,Prairie 360,ATV,362 ccm
2010,Kawasaki,Prairie 360 4x4,ATV,362 ccm
2010,Kawasaki,Super Sherpa,Enduro/offroad,249 ccm
2010,Kawasaki,Versys,Naked bike,649 ccm
2010,Kawasaki,VN 1700 Voyager,Touring,1700 ccm
2010,Kawasaki,VN 900,Custom/cruiser,903 ccm
2010,Kawasaki,VN1700 Classic,Custom/cruiser,1700 ccm
2010,Kawasaki,VN1700 Classic Tourer,Touring,1700 ccm
2010,Kawasaki,VN2000 Classic,Custom/cruiser,2053 ccm
2010,Kawasaki,VN900 Classic,Custom/cruiser,903 ccm
2010,Kawasaki,VN900 Custom,Custom/cruiser,903 ccm
2010,Kawasaki,Vulcan 1700 Classic,Custom/cruiser,1700 ccm
2010,Kawasaki,Vulcan 1700 Classic LT,Touring,1700 ccm
2010,Kawasaki,Vulcan 1700 Nomad,Touring,1700 ccm
2010,Kawasaki,Vulcan 1700 Voyager,Touring,1700 ccm
2010,Kawasaki,Vulcan 2000,Custom/cruiser,2053 ccm
2010,Kawasaki,Vulcan 2000 Classic,Custom/cruiser,2053 ccm
2010,Kawasaki,Vulcan 2000 Classic LT,Touring,2053 ccm
2010,Kawasaki,Vulcan 500 LTD,Custom/cruiser,498 ccm
2010,Kawasaki,Vulcan 900 Classic,Custom/cruiser,903 ccm
2010,Kawasaki,Vulcan 900 Classic LT,Touring,903 ccm
2010,Kawasaki,Vulcan 900 Custom,Custom/cruiser,903 ccm
2010,Kawasaki,Z1000,Naked bike,1043 ccm
2010,Kawasaki,Z750,Naked bike,748 ccm
2010,Kawasaki,ZZR 1400,Sport touring,1352 ccm
2010,Keeway,ARN 125,Scooter,125 ccm
2010,Keeway,ARN 150,Scooter,150 ccm
2010,Keeway,ARN 50,Scooter,49 ccm
2010,Keeway,ATV 100,ATV,91 ccm
2010,Keeway,ATV 300,ATV,278 ccm
2010,Keeway,ATV 50,ATV,49 ccm
2010,Keeway,Cruiser 250,Custom/cruiser,249 ccm
2010,Keeway,Electric Flash,Scooter,Electric
2010,Keeway,Electric Matrix,Scooter,Electric
2010,Keeway,F-Act 100,Scooter,91 ccm
2010,Keeway,F-Act 125,Scooter,125 ccm
2010,Keeway,F-Act 150,Scooter,150 ccm
2010,Keeway,F-Act 50,Scooter,49 ccm
2010,Keeway,Flash 50,Scooter,49 ccm
2010,Keeway,Goccia 50,Scooter,49 ccm
2010,Keeway,Hacker 125,Scooter,125 ccm
2010,Keeway,Hacker 50,Scooter,49 ccm
2010,Keeway,Hurricane 50,Scooter,49 ccm
2010,Keeway,Hurricane 90,Scooter,83 ccm
2010,Keeway,Matrix 125,Scooter,125 ccm
2010,Keeway,Matrix 150,Scooter,150 ccm
2010,Keeway,Matrix 50,Scooter,49 ccm
2010,Keeway,Outlook 125,Scooter,125 ccm
2010,Keeway,Outlook 150,Scooter,150 ccm
2010,Keeway,Outlook Sport 125,Scooter,125 ccm
2010,Keeway,Outlook Sport 150,Scooter,150 ccm
2010,Keeway,Pixel 50,Scooter,49 ccm
2010,Keeway,Speed 125,Naked bike,124 ccm
2010,Keeway,Speed 150,Naked bike,149 ccm
2010,Keeway,Superlight 125,Touring,124 ccm
2010,Keeway,Superlight 150,Touring,151 ccm
2010,Keeway,TX125 Enduro,Enduro/offroad,124 ccm
2010,Keeway,TX125 Supermotard,Super motard,124 ccm
2010,Keeway,TX50 Enduro,Enduro/offroad,50 ccm
2010,Keeway,TX50 Supermoto,Super motard,50 ccm
2010,Kikker,5150 Hardknock Frisco Bobber,Custom/cruiser,49 ccm
2010,Kinroad,XT100-9 Blue Eagle,Sport,100 ccm
2010,Kinroad,XT110PY-2B,Enduro/offroad,50 ccm
2010,Kinroad,XT125,Allround,124 ccm
2010,Kinroad,XT125-16,Custom/cruiser,124 ccm
2010,Kinroad,XT125-18,Allround,124 ccm
2010,Kinroad,XT125-19 Road King,Sport,125 ccm
2010,Kinroad,XT125-2 Challenger,Allround,125 ccm
2010,Kinroad,XT125-2 Traveller,Allround,125 ccm
2010,Kinroad,XT125-B Mickey,Allround,124 ccm
2010,Kinroad,XT125-BA Mickey Enduro,Enduro/offroad,124 ccm
2010,Kinroad,XT125-C Hatchet,Allround,125 ccm
2010,Kinroad,XT125-CB Sword,Sport,125 ccm
2010,Kinroad,XT125-CE War Dragon,Allround,125 ccm
2010,Kinroad,XT125-D Cruise,Allround,125 ccm
2010,Kinroad,XT125-F Mars,Allround,125 ccm
2010,Kinroad,XT200GY-3,Enduro/offroad,193 ccm
2010,Kinroad,XT400ATV 4x4,ATV,400 ccm
2010,Kinroad,XT50-20,Allround,49 ccm
2010,Kinroad,XT50Q,Custom/cruiser,50 ccm
2010,Kreidler,Enduro125 DD,Enduro/offroad,125 ccm
2010,Kreidler,Insignio 125,Scooter,125 ccm
2010,Kreidler,Insignio 250 Smokey,Scooter,244 ccm
2010,Kreidler,Jigger,Scooter,49 ccm
2010,Kreidler,Martinique 125,Scooter,125 ccm
2010,Kreidler,Mustang 250,ATV,234 ccm
2010,Kreidler,Mustang 50,ATV,49 ccm
2010,Kreidler,RMC-E 125 DD Sport,Scooter,125 ccm
2010,Kreidler,RMC-E 50,Scooter,49 ccm
2010,Kreidler,RMC-E Hiker 50 Amaze,Scooter,Electric
2010,Kreidler,RMC-E Hiker 50 DD Sport,Scooter,49 ccm
2010,Kreidler,RMC-G 125,Scooter,125 ccm
2010,Kreidler,RMC-G 50 Venturi,Scooter,49 ccm
2010,Kreidler,RMC-H 125 DD,Scooter,125 ccm
2010,Kreidler,RMC-H 50 DD,Scooter,49 ccm
2010,Kreidler,Street 125 DD,Allround,125 ccm
2010,Kreidler,Supermoto125 DD,Super motard,125 ccm
2010,KTM,1190 RC8,Sport,1148 ccm
2010,KTM,1190 RC8 R,Sport,1195 ccm
2010,KTM,1190 RC8 R Akrapovic Limited Edition,Sport,1195 ccm
2010,KTM,1190 RC8 R Red Bull Limited Edition,Sport,1195 ccm
2010,KTM,125 EXC,Enduro/offroad,125 ccm
2010,KTM,125 SX,Enduro/offroad,125 ccm
2010,KTM,150 SX,Enduro/offroad,144 ccm
2010,KTM,200 EXC,Enduro/offroad,193 ccm
2010,KTM,250 EXC,Enduro/offroad,249 ccm
2010,KTM,250 EXC-F,Enduro/offroad,249 ccm
2010,KTM,250 SX,Enduro/offroad,249 ccm
2010,KTM,250 SX-F,Enduro/offroad,249 ccm
2010,KTM,300 EXC,Enduro/offroad,293 ccm
2010,KTM,400 EXC,Enduro/offroad,393 ccm
2010,KTM,450 EXC,Enduro/offroad,449 ccm
2010,KTM,450 SMR,Super motard,449 ccm
2010,KTM,450 SX ATV,ATV,449 ccm
2010,KTM,450 SX-F,Enduro/offroad,449 ccm
2010,KTM,50 SX,"Minibike, cross",49 ccm
2010,KTM,505 SX ATV,ATV,477 ccm
2010,KTM,525 XC ATV,ATV,510 ccm
2010,KTM,530 EXC,Enduro/offroad,510 ccm
2010,KTM,65 SX,"Minibike, cross",65 ccm
2010,KTM,690 Duke,Naked bike,654 ccm
2010,KTM,690 Duke R,Naked bike,690 ccm
2010,KTM,690 Enduro,Enduro/offroad,654 ccm
2010,KTM,690 Enduro R,Enduro/offroad,654 ccm
2010,KTM,690 Rally Replica,Enduro/offroad,654 ccm
2010,KTM,690 SMC,Super motard,654 ccm
2010,KTM,690 Supermoto Limited Edition,Super motard,654 ccm
2010,KTM,85 SX 17-14,"Minibike, cross",85 ccm
2010,KTM,85 SX 19-16,"Minibike, cross",85 ccm
2010,KTM,990 Adventure,Enduro/offroad,999 ccm
2010,KTM,990 Adventure R,Enduro/offroad,999 ccm
2010,KTM,990 Super Duke,Naked bike,999 ccm
2010,KTM,990 Super Duke R,Naked bike,999 ccm
2010,KTM,990 Supermoto,Super motard,999 ccm
2010,KTM,990 Supermoto R,Super motard,999 ccm
2010,KTM,990 Supermoto T,Super motard,999 ccm
2010,Kymco,Active SR 125 E3,Scooter,124 ccm
2010,Kymco,Agility City,Scooter,50 ccm
2010,Kymco,Agility RS,Scooter,49 ccm
2010,Kymco,Downtown,Scooter,125 ccm
2010,Kymco,Downtown 200,Scooter,205 ccm
2010,Kymco,Jetix 125,Scooter,124 ccm
2010,Kymco,Jetix 150,Scooter,149 ccm
2010,Kymco,Jetix 50,Scooter,49 ccm
2010,Kymco,KR Naked 125,Naked bike,124 ccm
2010,Kymco,KR Sport 125,Sport,124 ccm
2010,Kymco,Like 50 4T,Scooter,49 ccm
2010,Kymco,Many 100 Fi,Scooter,99 ccm
2010,Kymco,Maxxer 400,ATV,367 ccm
2010,Kymco,Maxxer 450i,ATV,443 ccm
2010,Kymco,Maxxer 50,ATV,49 ccm
2010,Kymco,Mongoose 300,ATV,270 ccm
2010,Kymco,Mongoose 90,ATV,89 ccm
2010,Kymco,Movie S,Scooter,125 ccm
2010,Kymco,MXU 400,ATV,367 ccm
2010,Kymco,MXU 500,ATV,499 ccm
2010,Kymco,Myroad 700i,Scooter,699 ccm
2010,Kymco,Nexxon 125 E3,Scooter,124 ccm
2010,Kymco,Nexxon 50,Scooter,49 ccm
2010,Kymco,People 150,Scooter,152 ccm
2010,Kymco,People 50,Scooter,49 ccm
2010,Kymco,People S 200,Scooter,163 ccm
2010,Kymco,People S 250,Scooter,249 ccm
2010,Kymco,Pulsar,Sport,124 ccm
2010,Kymco,Quannon 125 E3,Sport,124 ccm
2010,Kymco,Quannon 150,Sport,149 ccm
2010,Kymco,Quannon Naked 125,Naked bike,124 ccm
2010,Kymco,Sento,Scooter,50 ccm
2010,Kymco,Sting 50,Scooter,49 ccm
2010,Kymco,Straight 125 E3,Scooter,125 ccm
2010,Kymco,Sunboy,Scooter,Electric
2010,Kymco,Super 8 150,Scooter,150 ccm
2010,Kymco,Super 8 50,Scooter,49 ccm
2010,Kymco,Venox Carb 250 E2,Custom/cruiser,249 ccm
2010,Kymco,Xciting 500 Ri,Scooter,499 ccm
2010,Kymco,Xciting Ri,Scooter,270 ccm
2010,Kymco,Yager 200i,Scooter,175 ccm
2010,Kymco,Zing II 125 E3,Custom/cruiser,124 ccm
2010,Lambretta,DUE50,Scooter,49 ccm
2010,Lambretta,Pato 125,Scooter,125 ccm
2010,Lambretta,Pato 50,Scooter,49 ccm
2010,Lambretta,UNO150,Scooter,150 ccm
2010,Lambretta,UNO50,Scooter,49 ccm
2010,Lauge,Jensen 1800,Custom/cruiser,1792 ccm
2010,Lehman,Trikes Crossbow,Touring,1731 ccm
2010,Lehman,Trikes Jackal Boulevard,Custom/cruiser,1462 ccm
2010,Lehman,Trikes Monarch II Gold Wing,Touring,1832 ccm
2010,Lehman,Trikes PitBoss,Custom/cruiser,1639 ccm
2010,Lehman,Trikes Raider Sportster,Custom/cruiser,1202 ccm
2010,Lehman,Trikes Renegade Dyna,Custom/cruiser,1584 ccm
2010,Lehman,Trikes Renegade Road Glide,Touring,1584 ccm
2010,Lehman,Trikes Renegade Road King,Touring,1584 ccm
2010,Lehman,Trikes Tramp Boulevard,Custom/cruiser,805 ccm
2010,Leonhardt,Gunbus 410,Sport,6719 ccm
2010,Lifan,LF250 Delta,Allround,248 ccm
2010,Ligier,Be Four 350,ATV,313 ccm
2010,Ligier,Be Four 50 HR,ATV,49 ccm
2010,Ligier,Be Pro 300,ATV,272 ccm
2010,Linhai,550 EFI,ATV,514 ccm
2010,Linhai,ATV Dragon Fly 400,ATV,352 ccm
2010,Linhai,ATV Goon 260,ATV,257 ccm
2010,Linhai,ATV Muddy 300,ATV,275 ccm
2010,Linhai,Drive In 125,Scooter,125 ccm
2010,Linhai,Drive In 150,Scooter,151 ccm
2010,Linhai,Drive-In 200,Scooter,177 ccm
2010,Linhai,Eggy 125,Scooter,125 ccm
2010,Linhai,Mainstreet 300,Scooter,275 ccm
2010,Linhai,Prince LH 50,Scooter,50 ccm
2010,LML,Adreno FX,Sport,109 ccm
2010,LML,Beamer,Sport,151 ccm
2010,LML,Freedom DX,Sport,109 ccm
2010,LML,Freedom Prima 110,Sport,109 ccm
2010,LML,Freedom Prima 125,Sport,125 ccm
2010,LML,Freedom Topper,Sport,125 ccm
2010,LML,Graptor,Scooter,151 ccm
2010,LML,NV Spl,Scooter,150 ccm
2010,LML,Select II,Scooter,150 ccm
2010,Malaguti,Blog 125 i.e.,Scooter,124 ccm
2010,Malaguti,Blog 160 i.e.,Scooter,154 ccm
2010,Malaguti,Centro 125 i.e.,Scooter,125 ccm
2010,Malaguti,Centro 160 i.e.,Scooter,154 ccm
2010,Malaguti,Centro 50 4T,Scooter,50 ccm
2010,Malaguti,F10 50,Scooter,49 ccm
2010,Malaguti,Firefox 50 AC,Scooter,49 ccm
2010,Malaguti,Grizzly 10,Enduro/offroad,49 ccm
2010,Malaguti,Grizzly 12 Enduro,Enduro/offroad,49 ccm
2010,Malaguti,Grizzly 4-wheels,ATV,49 ccm
2010,Malaguti,Madison 3 125,Scooter,125 ccm
2010,Malaguti,Madison 3 250 i.e.,Scooter,244 ccm
2010,Malaguti,Password 250,Scooter,250 ccm
2010,Malaguti,Phantom F12R AC Sport,Scooter,49 ccm
2010,Malaguti,Phantom F12R Bayliss,Scooter,49 ccm
2010,Malaguti,Phantom F12R LC,Scooter,49 ccm
2010,Malaguti,SpiderMax GT500,Scooter,459 ccm
2010,Malaguti,SpiderMax RS500,Scooter,493 ccm
2010,Malaguti,X3M Enduro 125,Super motard,125 ccm
2010,Malaguti,X3M Motard 125,Super motard,125 ccm
2010,Malaguti,XSM Special 50 Motard,Super motard,50 ccm
2010,Malaguti,XSM Supermotard 50,Super motard,50 ccm
2010,Malaguti,XTM 50 Enduro,Enduro/offroad,50 ccm
2010,Malaguti,XTM Special  50 Enduro,Enduro/offroad,50 ccm
2010,Marine,Turbine Technologies Superbike,Sport,1 ccm
2010,Mavizen,TTX02,Sport,Electric
2010,MBK,X-Over,Sport,125 ccm
2010,Megelli,Naked Streetbike 125S,Naked bike,124 ccm
2010,Megelli,Sportbike 125R,Sport,124 ccm
2010,Megelli,Supermoto 125M,Super motard,124 ccm
2010,Metisse,Desert Racer,Classic,649 ccm
2010,Mikilon,D10 250S,Enduro/offroad,249 ccm
2010,Mikilon,D32 250,Super motard,230 ccm
2010,Mission,One,Sport,Electric
2010,Moto,Gima Classic,Classic,124 ccm
2010,Moto,Guzzi 1200 Sport 4V,Naked bike,1151 ccm
2010,Moto,Guzzi Bellagio,Custom/cruiser,936 ccm
2010,Moto,Guzzi Breva 1100,Naked bike,1064 ccm
2010,Moto,Guzzi Breva 750,Naked bike,744 ccm
2010,Moto,Guzzi Breva 850,Naked bike,877 ccm
2010,Moto,Guzzi California Classic,Custom/cruiser,1064 ccm
2010,Moto,Guzzi California Vintage,Classic,1064 ccm
2010,Moto,Guzzi Griso 8V,Naked bike,1064 ccm
2010,Moto,Guzzi Griso 8V Special Edition,Naked bike,1064 ccm
2010,Moto,Guzzi MGS-01 Corsa,Sport,1225 ccm
2010,Moto,Guzzi Nevada Classic 750,Custom/cruiser,744 ccm
2010,Moto,Guzzi Norge 1200 GT,Touring,1151 ccm
2010,Moto,Guzzi Norge 1200 T,Touring,1151 ccm
2010,Moto,Guzzi Stelvio 1200cc ABS,Enduro/offroad,1151 ccm
2010,Moto,Guzzi Stelvio 1200cc NTX 4V,Enduro/offroad,1151 ccm
2010,Moto,Guzzi V7 Cafe Classic,Classic,744 ccm
2010,Moto,Guzzi V7 Classic,Classic,744 ccm
2010,Moto,Morini 1200 Sport,Naked bike,1187 ccm
2010,Moto,Morini 9 1-2,Naked bike,1187 ccm
2010,Moto,Morini Corsaro 1200,Naked bike,1187 ccm
2010,Moto,Morini Corsaro 1200 Veloce,Naked bike,1187 ccm
2010,Moto,Morini Corsaro Avio,Naked bike,1187 ccm
2010,Moto,Morini Granpasso H83,Allround,1187 ccm
2010,Moto,Morini Scrambler,Enduro/offroad,1187 ccm
2010,Motobi,Zanzani 250 6 Tiranti,Classic,249 ccm
2010,MotoCzysz,C1 990,Sport,990 ccm
2010,MotoCzysz,E1pc,Sport,Electric
2010,Motom,Dolcevita 125,Scooter,124 ccm
2010,Motom,TranCity 125,Scooter,125 ccm
2010,Motorhispania,Black Line SM 50,Super motard,50 ccm
2010,Motorhispania,Duna Dual Plus Trail,Trial,125 ccm
2010,Motorhispania,Duna Hard Road Enduro,Enduro/offroad,125 ccm
2010,Motorhispania,Duna Sports City Supermotard,Super motard,125 ccm
2010,Motorhispania,Furia Max,Enduro/offroad,50 ccm
2010,Motorhispania,Furia Max 49 SM,Super motard,50 ccm
2010,Motorhispania,KN1 125,Naked bike,125 ccm
2010,Motorhispania,MH7 125 Naked,Naked bike,125 ccm
2010,Motorhispania,RX 125R,Sport,125 ccm
2010,Motorhispania,RX 50R,Sport,50 ccm
2010,Motorhispania,RYZ 49 Off Road,Enduro/offroad,50 ccm
2010,Motorhispania,RYZ Pro Racing 49 Off Road,Enduro/offroad,50 ccm
2010,Motorhispania,RYZ Pro Urban,Super motard,50 ccm
2010,Motorhispania,RYZ Supermotard,Super motard,50 ccm
2010,MV,Agusta Brutale 1078RR,Naked bike,1078 ccm
2010,MV,Agusta Brutale 1090RR,Naked bike,1078 ccm
2010,MV,Agusta Brutale 910 R,Naked bike,908 ccm
2010,MV,Agusta Brutale 910S,Naked bike,909 ccm
2010,MV,Agusta Brutale 990R,Naked bike,998 ccm
2010,MV,Agusta F4 1000 R,Sport,1078 ccm
2010,MV,Agusta F4 1000 R 1 plus 1,Sport,998 ccm
2010,MV,Agusta F4 CC Claudio Castiglioni,Sport,1078 ccm
2010,MV,Agusta F4 R312,Sport,998 ccm
2010,MV,Agusta F4 RR 312 1078,Sport,1078 ccm
2010,MZ,Charly Electroroller Evo,Scooter,Electric
2010,NCR,848,Sport,848 ccm
2010,NCR,Leggera,Super motard,1078 ccm
2010,NCR,M16,Sport,998 ccm
2010,NCR,Macchia Nera Concept,Prototype/concept model,998 ccm
2010,NCR,Mike Hailwood TT,Sport,1120 ccm
2010,NCR,Millona One Shot,Sport,1100 ccm
2010,NCR,Millona R,Sport,1000 ccm
2010,NCR,Millona S,Sport,1000 ccm
2010,NCR,New Blue,Sport,1100 ccm
2010,Neander,Turbo Diesel,Custom/cruiser,1400 ccm
2010,Nipponia,Altiva 125,Scooter,125 ccm
2010,Nipponia,Arte 125,Scooter,125 ccm
2010,Nipponia,Arte 150,Scooter,150 ccm
2010,Nipponia,AX 100S,Allround,100 ccm
2010,Nipponia,Ezio 125,Scooter,125 ccm
2010,Nipponia,Ezio 50,Scooter,50 ccm
2010,Nipponia,Mego 125S,Scooter,125 ccm
2010,Nipponia,NB 125E,Allround,125 ccm
2010,Nipponia,Sporty 125,Scooter,125 ccm
2010,Nipponia,Sporty 125XX,Scooter,125 ccm
2010,Nipponia,Vorrei 125,Scooter,125 ccm
2010,Nipponia,Vorrei 150,Scooter,150 ccm
2010,Norton,Commando 961 Cafe Racer,Classic,961 ccm
2010,Norton,Commando 961 Sport,Classic,961 ccm
2010,Norton,Commando 961SE,Classic,961 ccm
2010,NOX,Duel 125 SM,Super motard,124 ccm
2010,NOX,KL 50 SM,Super motard,49 ccm
2010,NOX,KL 50 TT,Enduro/offroad,49 ccm
2010,Orion,36-RX Xtreme,Super motard,50 ccm
2010,Pagsta,Choppa 100,Custom/cruiser,99 ccm
2010,Pagsta,Cruisa 250,Custom/cruiser,234 ccm
2010,Pagsta,Eagle 150,Scooter,150 ccm
2010,Pagsta,KRB 250 Sports,Sport,234 ccm
2010,Pagsta,Roadsta 50,Custom/cruiser,49 ccm
2010,Pagsta,Wasp 50,Scooter,49 ccm
2010,Pagsta,XP 250,Sport,234 ccm
2010,Palmo,T150,Scooter,150 ccm
2010,Peraves,Monotracer,Allround,1171 ccm
2010,Peugeot,BlackSat 125,Scooter,125 ccm
2010,Peugeot,Blaster Ice Blade,Scooter,50 ccm
2010,Peugeot,Blaster RS12,Scooter,50 ccm
2010,Peugeot,Elystar 50 Advantage,Scooter,49 ccm
2010,Peugeot,Geopolis 125,Scooter,125 ccm
2010,Peugeot,Geopolis 250,Scooter,244 ccm
2010,Peugeot,Geopolis 400,Scooter,372 ccm
2010,Peugeot,Geopolis RS 125,Scooter,125 ccm
2010,Peugeot,Jet C-Tech,Scooter,50 ccm
2010,Peugeot,Jet Dark Side,Scooter,50 ccm
2010,Peugeot,Jet Ice Blade,Scooter,50 ccm
2010,Peugeot,Ludix 2 Elegance,Scooter,50 ccm
2010,Peugeot,Ludix 2 One,Scooter,50 ccm
2010,Peugeot,Ludix 2 Trend,Scooter,50 ccm
2010,Peugeot,LXR,Scooter,125 ccm
2010,Peugeot,LXR 200,Scooter,198 ccm
2010,Peugeot,Satelis 125,Scooter,125 ccm
2010,Peugeot,Satelis 125 Avenue,Scooter,125 ccm
2010,Peugeot,Satelis 125 Compressor,Scooter,125 ccm
2010,Peugeot,Satelis 125RS,Scooter,125 ccm
2010,Peugeot,Satelis 250,Scooter,244 ccm
2010,Peugeot,Satelis 400,Scooter,399 ccm
2010,Peugeot,Satelis 500,Scooter,493 ccm
2010,Peugeot,Satelis 500 RS,Scooter,493 ccm
2010,Peugeot,Satelis RS 250,Scooter,244 ccm
2010,Peugeot,Satelis WhiteSat 125 Compressor,Scooter,125 ccm
2010,Peugeot,Snake Furious,Scooter,50 ccm
2010,Peugeot,Snake Naked,Scooter,50 ccm
2010,Peugeot,Speedfight  3,Scooter,49 ccm
2010,Peugeot,Speedfight  3 RS,Scooter,49 ccm
2010,Peugeot,Sum Up,Scooter,125 ccm
2010,Peugeot,TKR,Scooter,50 ccm
2010,Peugeot,TKR 12,Scooter,49 ccm
2010,Peugeot,TKR Furious,Scooter,49 ccm
2010,Peugeot,Tweet  125,Scooter,125 ccm
2010,Peugeot,Tweet  50,Scooter,50 ccm
2010,Peugeot,V-Clic 50,Scooter,50 ccm
2010,Peugeot,Vivacity 4T,Scooter,50 ccm
2010,Peugeot,Vivacity 50,Scooter,49 ccm
2010,Peugeot,Vivacity Roland Garros,Scooter,50 ccm
2010,Peugeot,Vivacity Sixties,Scooter,49 ccm
2010,Peugeot,Vogue VS2,Scooter,49 ccm
2010,Peugeot,XP6 Top Road,Super motard,50 ccm
2010,Peugeot,XP6 Track,Enduro/offroad,50 ccm
2010,Peugeot,XPS Street Evo 3,Allround,50 ccm
2010,Peugeot,XPS Top Road,Super motard,50 ccm
2010,Peugeot,XPS Track,Enduro/offroad,50 ccm
2010,PGO,G-Max 50,Scooter,49 ccm
2010,PGO,Libra 50,Scooter,49 ccm
2010,PGO,Ligero RS 50,Scooter,49 ccm
2010,PGO,No Fear 50,Scooter,49 ccm
2010,PGO,PMX 50,Scooter,49 ccm
2010,PGO,PMX Naked 50,Scooter,49 ccm
2010,PGO,PMX Sport 50,Scooter,49 ccm
2010,PGO,T-Rex 50,Scooter,49 ccm
2010,PGO,TR3 50,Scooter,49 ccm
2010,PGO,X-Hot 50,Scooter,49 ccm
2010,Piaggio,Beverly Tourer 300,Scooter,278 ccm
2010,Piaggio,Carnaby Cruiser 300,Scooter,278 ccm
2010,Piaggio,Fly 125,Scooter,125 ccm
2010,Piaggio,Fly 50,Scooter,50 ccm
2010,Piaggio,Liberty 125,Scooter,125 ccm
2010,Piaggio,Liberty 150,Scooter,151 ccm
2010,Piaggio,Liberty 50 2T,Scooter,49 ccm
2010,Piaggio,MP3 125ie,Scooter,125 ccm
2010,Piaggio,MP3 400 LT,Scooter,390 ccm
2010,Piaggio,MP3 400ie,Scooter,399 ccm
2010,Piaggio,MP3 500,Scooter,493 ccm
2010,Piaggio,Mp3 Hybrid 125,Scooter,124 ccm
2010,Piaggio,MP3 LT 300,Scooter,278 ccm
2010,Piaggio,NRG Power DD,Scooter,49 ccm
2010,Piaggio,Typhoon 50,Scooter,49 ccm
2010,Piaggio,X7 Evo 300ie,Scooter,278 ccm
2010,Piaggio,XEvo 125,Scooter,124 ccm
2010,Piaggio,XEvo 250,Scooter,244 ccm
2010,Piaggio,XEvo 400,Scooter,399 ccm
2010,Piaggio,Zip 50,Scooter,49 ccm
2010,Polaris,Outlaw 450 MXR,ATV,448 ccm
2010,Polaris,Outlaw 50,ATV,49 ccm
2010,Polaris,Outlaw 525 IRS,ATV,510 ccm
2010,Polaris,Outlaw 525 S,ATV,510 ccm
2010,Polaris,Outlaw 90,ATV,89 ccm
2010,Polaris,Phoenix 200,ATV,196 ccm
